Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Latitude;Longitude;Nom communes équipées
12114;Victor Hugo - Jeanne Jugan;SANN;28;25;1;1;0;SANN;SANN;2022-10-05;48,84394906;2,415081395;Paris
46003;Conservatoire de Musique;SANN;25;9;16;11;5;SANN;SANN;2022-10-05;48,77093587;2,403401434;Choisy-le-Roi
10024;Buisson Saint-Louis - Saint-Maur;SANN;19;15;3;2;1;SANN;SANN;2022-10-05;48,87174685;2,372252833;Paris
41209;Cimetière de Fontenay-sous-Bois;SANN;15;13;1;0;1;SANN;SANN;2022-10-05;48,84706173;2,478782237;Fontenay-sous-Bois
18031;Place Albert Kahn;SANN;46;42;0;0;0;SANN;SANN;2022-10-05;48,89579698;2,345585584;Paris
21312;Lucie Aubrac - Fort;SANN;30;29;1;0;1;SANN;SANN;2022-10-05;48,81814483;2,271184623;Issy-les-Moulineaux
18028;Championnet - Vauvenargues;SANN;33;32;0;0;0;SANN;SANN;2022-10-05;48,89401875;2,331987284;Paris
42014;Place Marcel Cachin;SANN;32;3;27;19;8;SANN;SANN;2022-10-05;48,81411442;2,390907705;Ivry-sur-Seine
5018;Mutualité;SANN;37;27;10;6;4;SANN;SANN;2022-10-05;48,84822557;2,350287326;Paris
5124;Erasme - Ulm;SANN;24;0;24;16;8;SANN;SANN;2022-10-05;48,84264375;2,344594672;Paris
8017;Rocher - Laborde;SANN;65;26;38;25;13;SANN;SANN;2022-10-05;48,87590241;2,322616316;Paris
14106;Marc Sangnier - Porte de Vanves;SANN;21;21;0;0;0;SANN;SANN;2022-10-05;48,82521868;2,310711667;Paris
15054;Lecourbe - Jean Maridor;SANN;19;15;2;2;0;SANN;SANN;2022-10-05;48,83796366;2,287739217;Paris
10042;Enghien - Faubourg Poissonnière;SANN;16;2;12;8;4;SANN;SANN;2022-10-05;48,87242006;2,348395236;Paris
15106;Grenelle - Violet;SANN;35;29;5;2;3;SANN;SANN;2022-10-05;48,84993036;2,294612043;Paris
31102;Boissière - Etienne Dolet;SANN;21;20;1;0;1;SANN;SANN;2022-10-05;48,876111;2,4677312;Montreuil
14008;Mouton Duvernet - Général Leclerc;SANN;39;35;4;1;3;SANN;SANN;2022-10-05;48,83163252;2,329312116;Paris
2111;Chabanais - Petits Champs;SANN;30;3;26;13;13;SANN;SANN;2022-10-05;48,8670374;2,336716019;Paris
18046;Etienne Jodelle - Saint Ouen;SANN;33;26;3;1;2;SANN;SANN;2022-10-05;48,88794016;2,32612442;Paris
